name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Sao Paulo,Brazil",2015-11-11,32,20,25.1,35.6,20,25.7,18.3,67.7,4,100,8.33,rain,,,56.9,23.9,190.7,1017.1,61.7,7.6,204.7,16.8,8,,2015-11-11T06:15:23,2015-11-11T19:26:04,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-11-12,29.7,20.6,23.6,31.3,20.6,23.9,18.3,73.1,0,0,0,,,,38.9,20.9,133.7,1015.6,74.3,8.5,227.1,18.8,7,,2015-11-12T06:14:58,2015-11-12T19:26:43,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-11-13,30,20,24.4,30.9,20,24.8,18.5,71.7,15,100,4.17,rain,,,52,27.2,357.1,1014.4,59.4,8.6,267.9,22.2,9,,2015-11-13T06:14:34,2015-11-13T19:27:23,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-11-14,30,18.8,24.6,31.4,18.8,25.2,18.4,69.8,4,100,4.17,rain,,,51.8,39.8,291,1013.8,62.3,10.5,223.8,18.5,8,,2015-11-14T06:14:12,2015-11-14T19:28:03,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-11-15,28.4,18.7,22.5,28.9,18.7,22.6,17.6,74.9,5,100,4.17,rain,,,,20.3,190.3,1015.2,74.3,9.8,192.9,15.9,6,,2015-11-15T06:13:51,2015-11-15T19:28:43,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-11-16,23.1,19.1,20.4,23.1,19.1,20.4,17.2,82.5,0,0,0,,,,,19.9,141.2,1015.5,94.6,9.2,195.8,16.2,6,,2015-11-16T06:13:31,2015-11-16T19:29:24,0.17,Overcast,Cloudy skies throughout the day.,cloudy,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-11-17,29.9,19,22.4,30.9,19,22.6,18.2,78.6,0.6,100,4.17,rain,,,94.7,17.3,111.6,1013.3,81.2,9.1,242.1,20,8,,2015-11-17T06:13:13,2015-11-17T19:30:05,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"83075099999,SBKP,SBSP,83721099999,SBGR,remote,83780099999"
"Sao Paulo,Brazil",2015-11-18,30,18.9,24.6,31.1,18.9,25,17.6,67,25,100,4.17,rain,,,38.9,22.6,302,1011.1,50.5,10.5,321.3,26.7,9,,2015-11-18T06:12:56,2015-11-18T19:30:46,0.24,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-11-19,30,23.8,26.5,31.2,23.8,27,19.1,64.3,0,0,0,,,,38.9,22.4,329.5,1009.2,69,10.6,217.7,18,8,,2015-11-19T06:12:41,2015-11-19T19:31:27,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
"Sao Paulo,Brazil",2015-11-20,27.1,20.6,23.8,27.8,20.6,23.9,17.8,69.5,11,100,4.17,rain,,,46.4,32.6,322.1,1009.4,60.6,10.1,108.5,9,4,,2015-11-20T06:12:27,2015-11-20T19:32:09,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"SBMT,83779099999,83075099999,SBKP,SBSP,83721099999,SBGR,83780099999"
